State,Year,Category,Project,Company,Jobs Created,Qualified Expenditures,Incentive Issued
Louisiana,2014,Feature Film,Student Bodies,Student Bodies Productions LLC,,"$118,097","$35,774"
Illinois,,Commercial,"Humira Gastro ""Clarity""",,,
Minnesota,,Int,Best Buy Holiday Dot Com,,,"$178,400","$35,680"
Wyoming,2016,,Ski Instruction Video,,,
Texas,2012,Feature Film,Searching for Sonny,,,,"$35,659"
Illinois,,TV,IT Imposters,,,
Massachusetts,2012,,2010 National Geographic Channel On Air Promos,"Viewpoint Computer Animation, Inc.",,,"$35,624"
New York,2017,Post-Production,Dixieland,"Dixieland Productions, LLC",2,"$201,905","$35,613"
Mississippi,2014,,Sanderson Farms TV Commercial 2013,,,"$31,365","$35,571"
Massachusetts,2013,,Jim Norton Live,"Art & Industry, Inc.",,,"$35,558"
Illinois,,Commercial,Quiznos Baja Chicken 21240,,,
Connecticut,2009,Film and Digital Media Production Tax Credit,,"Fog Warning, LLC",,"$118,313","$35,494"
Illinois,,Commercial,Thomas' English Muffins,,,
Pennsylvania,,,Raw War (aka: Combat Camera),"Lumiere Media, Inc.",0,,"$35,451"
Illinois,,TV,The Olds,,,
Connecticut,2009,Film and Digital Media Production Tax Credit,,"Concentric Entertainment, LLC",,,"$35,370"
Illinois,,Commercial,"McDonald's - MOCNI ""Fruit Stand""",,,
Illinois,,TV,Capri Sun Kids vs Pros,,,
Texas,2016,Feature Film,Results,,,,"$35,355"
Oregon,2014,Commercial Production,Various Titles,"Hinge Digital, LLC",,,"$35,346"
Minnesota,,TV C,Great Clips: More Time,,,"$176,546","$35,309"
Connecticut,2011,Film and Digital Media Production Tax Credit,,"The Green The Movie Production, LLC",,"$353,060","$35,306"
Illinois,,Commercial,Reynolds:  Slow Cooker Liner & Foil,,,
Washington,2013,Feature Film,You Can't Win,,,,"$35,220"
Illinois,,Commercial,Golden Corral 21338,,,
Illinois,,Commercial,Froedtert Medical 957,,,
Illinois,,TV,Path to Greatness,,,
Oregon,2015,Commercial Production,Various Titles,"Hinge Digital, LLC",,,"$35,125"
Illinois,,Commercial,Cadillac 3848,,,
Illinois,,Commercial,Country Financial Web Heritage Video,,,
Illinois,,Commercial,"Allstate 931 ""Pro Football Hall of Fame""",,,
Minnesota,,Post,Once Upon A Time,,,"$175,243","$35,049"
Illinois,,Commercial,Wendy's Yard Sale Make Time Little League,,,
Massachusetts,2015,,"Connecticut Lottery ""Star""",Big Picture Studios LLC,,,"$34,924"
Illinois,,TV,5 Hour Energy,,,
Mississippi,2016,,Gulf South Outdoors,,,"$24,066","$34,880"
Massachusetts,2012,,SBLI 1207,"Picture Park, Inc.",,,"$34,877"
Massachusetts,2014,,2013 HBO On-Air Promos,"Viewpoint Computer Animation, Inc.",,,"$34,856"
Illinois,,Commercial,"JBL ""Small Venue"" 947",,,
Illinois,,Commercial,U.S. Cellular,,,
Illinois,,Commercial,Quiznos - Stack up the Flavor,,,
Illinois,,Commercial,Country Financial #4174 I Want to be Dreams,,,
Connecticut,2009,Film and Digital Media Production Tax Credit,,"Reader Productions, Inc.",,"$115,800","$34,740"
Mississippi,2014,,Janitor Zoo,,,"$16,543","$34,735"
Illinois,,Commercial,Eastman Outdoors Crossbows Spots,,,
Louisiana,2015,TV Series,WWE Smackdown 2014,Event Services NOLA LLC,,"$115,523","$34,657"
New York,2015,Film/TV,Kensho at the Bedfellow,,40,"$145,370","$34,630"
Minnesota,,TV C,Gordman's,,,"$173,121","$34,624"
Illinois,,Commercial,Crystal Farms 361,,,
New York,2017,Post-Production,A Stand Up Guy,"Kilset Film, Inc.",5,"$162,372","$34,588"
Pennsylvania,,,Remember Us,"Big Monster Entertainment, LLC",0,,"$34,575"
Texas,2012,Feature Film,Abel's Field,,,,"$34,565"
Washington,2013,Innovation Lab,Salish Seas,,,,"$34,534"
Tennessee,2012,Commercial,HEALTHSPRING 2010,,,"$203,072","$34,522"
Massachusetts,2013,,2012 ESPN Co-Branded Promos,"Viewpoint Computer Animation, Inc.",,,"$34,499"
Illinois,,Commercial,"Payless ""BTS"" & Generations",,,
Illinois,,Commercial,Delta Holiday,,,
Massachusetts,2015,,15024 OSJL,"Element Productions, Inc.",,,"$34,419"
Illinois,,TV,Anthony Jeselnik Comedy Special,,,
New York,2016,Post-Production,Magic Mike XXL,,1,"$114,449","$34,335"
Minnesota,,Int,Presbyterian Health Plan,,,"$171,668","$34,334"
Illinois,,Commercial,Everybody Loves to Payless - FP5 BOGO 2015,,,
Illinois,,Commercial,Illinois Lottery 948,,,
Illinois,,Commercial,Voice of Meningitis 974,,,
Massachusetts,2013,,2012 NBA Boston,HIS Productions Inc.,,,"$34,267"
Illinois,,Commercial,"FootLocker WoG ""Excited""",,,
Connecticut,2010,Film and Digital Media Production Tax Credit,,"Budderfly Three, LLC",,"$114,024","$34,207"
Illinois,,Commercial,Aldi 351,,,
Louisiana,2013,Feature Film,Hateship Friendship Courtship Loveship and Marriage,Hateship Productions Louisiana LLC,,"$113,462","$34,169"
Illinois,,Commercial,Nintendo Miitomo,,,
Oklahoma,,,Mekko,,
Colorado,2017,Feature Film,Shooting in Vein,SIV LLC,,"$298,375","$34,076"
Illinois,,TV,Parallax Sounds,,,
Illinois,,TV,"A Piece of the Game #5, 6 & 7",,,
Massachusetts,2013,,13010 Numbers - SNHU,"Element Productions, Inc.",,,"$34,026"
Illinois,,Film,Bailout,,,
Illinois,,Commercial,"Omega ""Golf Course""",,,
Minnesota,,TV C,MNSure 2016,,,"$169,766","$33,953"
Illinois,,Commercial,Neutrogena 3 Bottles & Eight,,,
Massachusetts,2012,,I Used to be Fat 2,"Bongo, LLC",,,"$33,944"
Massachusetts,2015,,Crowley Auto Group Television Commericals 2014,"Allen Roche Group, Inc.",,,"$33,941"
Illinois,,Commercial,Liftmaster,,,
Minnesota,,TV C,FingerHut: Dad,,,"$169,217","$33,843"
Washington,2013,Innovation Lab,Box Walk,,,,"$33,777"
Pennsylvania,,,Six Hours: Surviving Typhoon Yolanda,"Big Monster Entertainment, LLC",0,,"$33,775"
Illinois,,Commercial,"State Farm ""State of Discovery/Ivy""",,,
Pennsylvania,,,Bloodrunners,Speakeasy Pictures LLC,65,,"$33,768"
Massachusetts,2015,,Direxion Funds -Fellowship,"Viewpoint Computer Animation, Inc.",,,"$33,768"
Illinois,,Commercial,Goose Island #19058,,,
Louisiana,2010,TV Reality,Sports & Lifestyle TV,ComCorp Productions LLC,,"$112,478","$33,743"
Louisiana,2014,TV Series,Zoo Season 1,Danni Productions LLC (CBS Studios),,"$112,354","$33,706"
Massachusetts,2012,,The House Across the Street,"Woodlawn, LLC",,,"$33,696"
Massachusetts,2013,,20711 Lottery,"Element Productions, Inc.",,,"$33,641"
Massachusetts,2015,,14066 OSJL W15,"Element Productions, Inc.",,,"$33,590"
Illinois,,Commercial,CashNet USA,,,
Wyoming,2015,,The Best of the West,,,
New York,2017,Post-Production,Wilson,"Pippi Productions, Inc.",0,"$111,525","$33,458"
Louisiana,2011,TV Series,Imagination Movers-season 3,Zydeco Productions (Disney),,"$103,993","$33,456"
Illinois,,TV,Windy City Poker Championship,,,
Illinois,,Commercial,"Ensure ""Upstairs Neighbor""",,,
Minnesota,,TV C,Big Lots Price Items 2&3,,,"$165,723","$33,145"
Louisiana,2013,Feature Film,Long Day Journey,Trek Productions LLC,,"$105,444","$33,119"
Mississippi,2016,,Acre Beyond the Rye,,,"$33,116","$33,116"
Texas,2017,Reality Television Project,Iron Resurrection,,,,"$33,080"
New York,2015,Film/TV,Fall To Rise,Fall to Rise LLC,61,"$140,726","$33,042"
Illinois,,Commercial,Reynolds Real Moms #20335,,,
Louisiana,2010,Feature Film,Contagion,Warner Brothers,,"$110,000","$33,000"
Utah,2013,,Beauty In The Beast,,,
Illinois,,Commercial,Business is Boldly Going,,,
Illinois,,Commercial,Buddig Ice Time,,,
Illinois,,Commercial,Wireless T-Mobile BTC (for Walmart/Hispanic Market),,,
Illinois,,Commercial,Silk 935,,,
Louisiana,2012,Feature Film,Elsa & Fred,Sisung Film Finance LLC,,"$109,116","$32,735"
Minnesota,,TV C,Mystic Lake-Rain,,,"$163,671","$32,734"
Illinois,,Commercial,"Neutrogena OFAW ""Proven"" 21504",,,
Massachusetts,2012,,1213 Webster Bank,"Picture Park, Inc.",,,"$32,555"
Washington,2014,Commercial,Toyota,,,,"$32,551"
Massachusetts,2015,,Under Armour,"Old Harbor Productions, Inc.",,,"$32,506"
Louisiana,2011,Feature Film,Divine Awakening,Southwick Productions,,"$108,250","$32,475"
Minnesota,,FF,Heart of Wilderness,,,"$129,883","$32,471"
Louisiana,2013,Animation,Isn't It Romantic,Moonbot Studios LLC,,"$94,306","$32,424"
Minnesota,,TV C,United Health-Get the Ball Rolling,,,"$162,063","$32,413"
Illinois,,Film,NightLights,,,
Washington,2016,Innovation Lab,"Tabitha, Witch of the Order",,,,"$32,400"
New York,2016,Film/TV,Paper Store,The Paper Store Studio,37,"$127,022","$32,398"
Illinois,,TV,Courage in Sports Honors,,,
Illinois,,Commercial,Proactiv 21256,,,
Illinois,,Commercial,"Illinois Lottery ""Generation Gap""",,,
Massachusetts,2014,,SouthCoast Health,"Chicago Story Piccolo Guliner, Inc aka STORY",,,"$32,193"
Minnesota,,TV PI,5 Day Flip,,,"$160,905","$32,181"
Tennessee,2014,Feature (Independent),INSPIRATION POP 2929,,,"$189,229","$32,169"
Massachusetts,2012,,Pride Television Commercials 2011,"Allen Roche Group, Inc.",,,"$32,167"
Louisiana,2011,TV Reality,Chef John Besh's New Orleans,John Besh's New Orleans LLC,,"$101,781","$32,160"
Illinois,,Commercial,Dairy Queen 21426,,,
Texas,2016,Feature Film,A Country Called Home,,,,"$32,119"
Massachusetts,2012,,2010 ESPN Co-Branded Promos,"Viewpoint Computer Animation, Inc.",,,"$32,071"
Illinois,,TV,A Plate Apart,,,
Washington,2014,Commercial,Washington Health Benefits Exchange,,,,"$31,932"
Mississippi,2017,,Sanderson Farms,,,"$31,928","$31,928"
Massachusetts,2015,,CT Lottery - RT 1419,"Redtree Productions, Inc.",,,"$31,928"
Minnesota,,TV C,Aspirus Fall 2015,,,"$159,070","$31,814"
Illinois,,Commercial,Holiday TV Campaign 2014,,,
Massachusetts,2012,,Improv Asylum's Vanity Project,"Rock Hard Productions, Inc.",,,"$31,790"
Illinois,,Commercial,Johnsonville 3402,,,
Tennessee,2014,TV Reality,WILLIS CLAN,,,"$186,860","$31,766"
Illinois,,TV,Holiday Reviews,,,
Texas,2016,Feature Film,"""Late Night Horror"" (aka KILD TV)",,,,"$31,756"
Massachusetts,2012,,Lexus Television Commercials 2011,"Allen Roche Group, Inc.",,,"$31,681"
Massachusetts,2013,,2012 Penn Foster,"Lunchpail Productions, Inc.",,,"$31,680"
Illinois,,Commercial,True Value,,,
Massachusetts,2016,,TomTom RT -1523,"Redtree Productions, Inc.",,,"$31,658"
Illinois,,Commercial,River's Casino,,,
Massachusetts,2014,,Flipping Boston Season 1,"39th Street Productions, LLC",,,"$31,603"
Pennsylvania,,,Billy Gardell DVD,Levity Entertainment Group LLC,56,,"$31,577"
Illinois,,Film,Leading Ladies,,,
Florida,,COMMERCIAL,IMPERIAL WOODPECKER - BEATS LEBRON'S WORKOUT,,133,"$157,484","$31,496"
Illinois,,Commercial,Lenovo Yoga,,,
Minnesota,,Post,Amsoil,,,"$157,068","$31,414"
Illinois,,Commercial,BP Crosstown Cup,,,
Illinois,,TV,John Pinette:  Still Hungry,,,
Massachusetts,2012,,Sci Girls,"Soup 2 Nuts, Inc.",,,"$31,280"
Rhode Island,2016,Feature,Anders Manor,,,"$125,000","$31,250"
Minnesota,,TV C,Winmark Fall 2015,,,"$156,073","$31,215"
Illinois,,Commercial,Froedtert 939,,,
Illinois,,Commercial,"Neutrogena Wet Skin ""Challenge"" & Ultra Sheer ""Harsh"" 21413",,,
Connecticut,2009,Film and Digital Media Production Tax Credit,,"PM Films, LLC",,"$103,450","$31,035"
Minnesota,,Int,Walmart Grocery,,,"$155,076","$31,015"
Illinois,,TV,Best Friends,,,
Texas,2012,Feature Film,Seasons of Gray,,,,"$30,890"
Florida,,TV SERIES,HOW TO DO FLORIDA SEASON 4,,28,"$181,419","$30,866"
Texas,2015,Feature Film,Intramural,,,,"$30,864"
Illinois,,TV,My Strange Addiction:  Update Special,,,
Illinois,,TV,A Piece of the Game #3 and #4,,,
Massachusetts,2013,,RLMG-2013-03,"Richard Lewis Media Group, Inc.",,,"$30,827"
Illinois,,Commercial,McDonalds Dinner Party 995,,,
Illinois,,TV,Where You At,,,
Illinois,,Commercial,"Swiffer Game, Hammock & Meditate 21245",,,
Florida,,DOCUMENTARY,PORT CANAVERAL,,94,"$122,851","$30,713"
Louisiana,2012,TV Reality,Bellator Reality Series,Louisiana RPI LLC (Viacom),,"$101,928","$30,711"
Massachusetts,2014,,Join Me RT - 1418,"Redtree Productions, Inc.",,,"$30,650"
Illinois,,Commercial,McDonalds Tollbooth 994,,,
Louisiana,2014,TV Reality,Top Chef New Orleans,Bravo Media Productions of Louisiana LLC,,"$101,776","$30,533"
Massachusetts,2012,,Merrill Edge RT 1148,"Redtree Productions, Inc",,,"$30,432"
Minnesota,,Post,Sleep Number: Full Circle,,,"$151,800","$30,360"
Massachusetts,2015,,2015-RLMG-06,"Richard Lewis Media Group, Inc.",,,"$30,274"
Massachusetts,2013,,13001 NG-National Grid,"Element Productions, Inc.",,,"$30,269"
Louisiana,2016,TV Reality,Killing Fields,Chad Allen Productions LLC,,"$100,695","$30,209"
Texas,2013,Reality Television Project,The Little Couple Season 4,,,,"$30,184"
Minnesota,,Int,sWheat Dreams,,,"$150,826","$30,165"
Illinois,,Commercial,"SensatioNail ""Confessions"" 21446",,,
Massachusetts,2015,,14064 Broadband,"Element Productions, Inc.",,,"$30,131"
Massachusetts,2012,,The Secret Village,"Midnight Friends, LLC",,,"$30,118"
Minnesota,,TV C,SpidermanTV,,,"$150,508","$30,102"
Illinois,,Commercial,Ziploc - Space Bags & Angry Birds,,,
Illinois,,Commercial,"Ameren ""Stay Alert""",,,
Minnesota,,TV C,Catholic Health Initiative,,,"$150,308","$30,062"
Massachusetts,2015,,Then There Was (Currently titled Blackout),"Then There Was, LLC",,,"$30,058"
Massachusetts,2014,,Peanut Butter and Jellyfish,Soup 2 Nuts,,,"$30,000"
Wyoming,2016,,The Best of the West,,,
Virginia,2016,,Macbeth,,,
Texas,2015,Reality Television Project,Troubadour TX Season 3,,,,"$29,995"
Oklahoma,,,Let Me Make You a Martyr,,
Louisiana,2013,Feature Film,Oldboy,OB Productions Inc.,,"$99,623","$29,887"
Illinois,,Commercial,"Allstate ""Chairman's Address 2013""",,,
Massachusetts,2013,,Care.com 2013 Campaign,"Full Moon Films, Inc.",,,"$29,873"
Louisiana,2011,Documentary,Ole War Skule,Dog-Man Productions Inc.,,"$99,577","$29,873"
Illinois,,Commercial,Energy Impact IL 913,,,
Oregon,2014,Commercial Production,Various Titles,AT LARGE FILMS INC,,,"$29,852"
Minnesota,,Post,2015 Midcontinent Fall,,,"$149,258","$29,852"
Mississippi,2013,,Sqwincher-Freezer Pop Campaign,,,"$29,968","$29,775"
Louisiana,2016,Feature Film,Plaquemines,Deep south Studios LLC,,"$87,768","$29,768"
Oregon,2016,Interactive Game,DAY OF THE TENTACLE,Supergenius Industries LLC,,,"$29,749"
Illinois,,Commercial,Stratego Yield SOY,,,
Illinois,,Commercial,Little Libraries/Volunteers,,,
Illinois,,Commercial,Kellogg's Eggo,,,
Illinois,,Commercial,Presence Health,,,
Illinois,,Commercial,AT & T Shopping Tour,,,
Illinois,,Commercial,"Gordman's ""Hairdresser"" 365",,,
New York,2016,Film/TV,"Nymphets, The","Nymphets Movie, LLC",40,"$162,844","$29,563"
Massachusetts,2016,,PRONTOsaurus,Hero4Hire Creative LLC,,,"$29,560"
Texas,2015,Feature Film,Lumberjack Man,,,,"$29,551"
Texas,2013,Television Program,Red vs Blue Season 10,,,,"$29,550"
Louisiana,2013,Feature Film,Boulevard H,Boulevard H Movie LLC,,"$98,062","$29,546"
Illinois,,Commercial,Allstate 916,,,
Texas,2013,Feature Film,Chasing Shakespeare,,,,"$29,529"
Texas,2016,Reality Television Project,DALLAS COWBOY CHEERLEADERS SEASON 10 Reality Television Project,,,,"$29,527"
Illinois,,Commercial,Smashburger Television Campaign,,,
Illinois,,Commercial,"Domino's ""Ludicrous Speed""",,,
Illinois,,Commercial,Pioneer Gravy 940,,,
Texas,2016,Television Program,RWBY Volume 2,,,,"$29,459"
Texas,2014,Reality Television Project,Buck Texas Wrangler,,,,"$29,437"
Mississippi,2017,,A Piece of the Game,,,"$29,424","$29,424"
Tennessee,2014,New Media,SAVAGE COUNTY,,,"$172,900","$29,393"
Illinois,,Commercial,"Stand-up Mom ""Stocktober"" and ""Holiday""",,,
Illinois,,TV,Quaker State,,,
Mississippi,2013,,Rise Again,,,
Louisiana,2011,TV Series,Let's Go Tee Gumbo,Chow Town Investments LLC,,"$97,615","$29,285"
Minnesota,,TV S,Fired Up Food,,,"$146,289","$29,258"
Texas,2015,Reality Television Project,Dallas Cowboy Cheerleaders: Season 9,,,,"$29,245"
Illinois,,Commercial,"Payless FP10 ""Last Minute 9-Day Sale"" #734",,,
New York,2016,Post-Production,"Neighbor, The",,1,"$107,968","$29,182"
Illinois,,Commercial,Walmart 2014 Saving Catcher TV (WAL - 17269),,,
Illinois,,Commercial,"Scrubbing Bubbles ""How To Videos"" 20192",,,
Illinois,,Commercial,"Kraft:  Kool-Aid ""Man Oh Yeah""",,,
Colorado,2015,Television,Max Lucado: Traveling Light,Contrast Audio Visual,,"$145,690","$29,138"
Illinois,,Commercial,Wendy's Sad Lunch 21544,,,
Connecticut,2010,Film Infrastructure Tax Credit,,The Brand Gallery,,"$193,604","$29,041"
Massachusetts,2016,,Rebagg,"Conductor Productions, LLC",,,"$29,004"
Minnesota,,TV C,"Rasmussen ""Reverse""",,,"$144,683","$28,937"
Massachusetts,2015,,Cheetos Campaign,"Brickyard VFX, Inc.",,,"$28,926"
Minnesota,,TV C,FURminator,,,"$144,084","$28,817"
Illinois,,Commercial,Lurie Children's Hospital of Chicago LCH-1213,,,
Massachusetts,2013,,LMNO Peas,"Soup2Nuts, Inc.",,,"$28,793"
Louisiana,2012,TV Reality,Caged,Louisiana RPI LLC (Viacom),,"$94,959","$28,763"
Connecticut,2010,Film and Digital Media Production Tax Credit,,1080 Inc.,,"$95,819","$28,746"
Wyoming,2014,,Mahjong and the West,,,
Illinois,,Commercial,Kellogg's Frosted Mini Wheats,,,
Illinois,,Film,Freudian Slip,,,
Massachusetts,2014,,Rising Voices,Florentine Films/Hott Productions,,,"$28,660"
Mississippi,2015,,The Livingston Gardener,,,"$14,094","$28,656"
Louisiana,2011,TV Reality,Tough Love New Orleans,Louisiana RPI LLC (Viacom),,"$95,500","$28,650"
Oregon,2013,Commercial Production,Various Titles,AT LARGE FILMS INC,,,"$28,603"
Massachusetts,2016,,Wahlburgers Season 6 Promo,"Stun Creative, LLC",,,"$28,585"
Illinois,,Commercial,"Payless ""5 Day Sale"" #397",,,
Louisiana,2014,Commercial,Popeyes Louisiana Kitchen Commercial Slate #2,Artistic Endeavors Inc.,,"$95,000","$28,500"
Minnesota,,TV C,Gatorade,,,"$142,494","$28,499"
Illinois,,Commercial,O'Charley's August Promotion,,,
Massachusetts,2016,,Santander RT - 1536,"Redtree Productions, Inc.",,,"$28,464"
Louisiana,2015,TV Commercial,Famous Footwear Many Parents,Strong Films LLC,,"$88,962","$28,456"
Tennessee,2010,TV Special,BLUE COLLAR TRIBUTE: TEN YEARS OF FUNNY,,,"$167,173","$28,419"
Illinois,,Commercial,"Norton ""Window""",,,
Washington,2014,Commercial,Subaru,,,,"$28,406"
Pennsylvania,,,Yinz,"Yinz Movie, LLC",15,,"$28,373"
Massachusetts,2015,,The Origin of Species,"Veriscope Pictures, Inc.",,,"$28,292"
Minnesota,,TV C,Fingerhut 2014 TV,,,"$141,364","$28,273"
Illinois,,TV,Nickmom,,,
Illinois,,Commercial,"Neutrogena OFAW ""Did you Know"" & ""Consistently Clear/A Whole New Way""",,,
Massachusetts,2013,,Kidscook-Season 1,"Kidscook Productions, LLC",,,"$28,176"
New York,2016,Film/TV,Mad Women,,47,"$122,416","$28,139"
Louisiana,2015,Feature Film,Brothers Blood,Good and Bad Cop LLC,,"$86,041","$28,133"
Illinois,,Commercial,"Five Below ""Jesse James Summer""",,,
Texas,2014,Reality Television Project,Dallas Cowboy Cheerleaders Season 8,,,,"$28,082"
Colorado,2013,Special Feature,Clean Guys of Comedy,Clean Guys Entertainment,,"$140,198","$28,039"
Illinois,,TV,Denny's - Behind the Meal,,,
Illinois,,Commercial,Tuaca,,,
Oklahoma,,,Rust,,
Washington,2014,Commercial,JP Morgan-Chase,,,,"$28,000"
Connecticut,2012,Film and Digital Media Production Tax Credit,,Freeplay Labs LLC,,"$279,702","$27,970"
Louisiana,2013,TV Reality,Swamp Pawn,Louisiana CMT LLC (Viacom),,"$93,232","$27,970"
Louisiana,2015,Feature Film,Bad Moms,Bad Moms Louisiana LLC,,"$92,753","$27,826"
Rhode Island,2014,Feature,Almost Mercy,,,"$119,093","$27,825"
Massachusetts,2015,,Harvey Windows RT - 1427,"Redtree Productions, Inc.",,,"$27,796"
Texas,2016,Feature Film,RIPPED VAN WINKLES,,,,"$27,778"
New York,2016,Film/TV,Hamlet,First Folio Prodns.,62,"$128,151","$27,730"
Illinois,,Commercial,"Aldi ""Scale"" & ""Spaghetti""",,,
Illinois,,Commercial,WingStop,,,
Massachusetts,2015,,"Cumberland Farms ""Tip Drill""Iced Coffee",Full Contact Advertising LLC,,,"$27,636"
Minnesota,,TV C,Great Clips 2016,,,"$138,135","$27,627"
Pennsylvania,,,All Saints Eve,"OLOG Entertainment, LLC",40,,"$27,619"
Illinois,,Commercial,Neutrogena Bubbles Supers & Moment of Truth,,,
Oregon,2013,Commercial Production,Various Titles,Sockeye Creative Inc,,,"$27,563"
Illinois,,Commercial,"O'Charley's ""Table"" 21251",,,
Illinois,,Commercial,"Neutrogena Hydro Boost ""Bounce"" & ""Thirsty"" 21438",,,
Illinois,,Commercial,Shock Top 3405,,,
Massachusetts,2014,,13051 AB,"Element Productions, Inc.",,,"$27,439"
Illinois,,Commercial,"Corner Bakery ""Crave""",,,
Illinois,,Commercial,Neutrogena The Pile/20 21540,,,
Louisiana,2015,Feature Film,Help My Gumshoe is an Idiot,Gumshoe Productions LLC,,"$87,738","$27,374"
Minnesota,,TV C,Gettington TV,,,"$136,839","$27,368"
Wyoming,2013,,Cowboy's Creed,,,
Massachusetts,2013,,13002 SFP - Subway,"Element Productions, Inc.",,,"$27,286"
Tennessee,2011,TV Special,MONDAY NIGHT FOOTBALL PROMO - 2010,,,"$160,490","$27,283"
Illinois,,Commercial,Cheeze-It,,,
Colorado,2015,Television,"2015 Alpine World Championships, Podium 360",Universal Sports,,"$136,188","$27,238"
Pennsylvania,,,RV 2012,"Nancy Glass Productions, Inc.",30,,"$27,221"
Illinois,,Commercial,"Cracker Barrel Commercial ""Secretly Replaced""",,,
Massachusetts,2012,,Pride Motor Group Jan-Jun 2012,"Allen Roche Group, Inc.",,,"$27,191"
Minnesota,,TV C,Be The Match,,,"$135,892","$27,178"
Illinois,,Commercial,"Big Lots ""Secret Top Brand Alert""",,,
Illinois,,TV,"A Piece of the Game Episodes #8, 9 & 10",,,
Minnesota,,Post,"Sleep Number:Bend Me, Shape Me Post",,,"$135,700","$27,140"
Minnesota,,TV C,Rasmussen College,,,"$135,656","$27,131"
Illinois,,Commercial,"Head & Shoulders ""Troy""",,,
Illinois,,TV,"Surprise Wedding (a/k/a ""Secret Wedding"")",,,
Minnesota,,TV C,Altru-You Being You,,,"$135,535","$27,107"
Massachusetts,2016,,Home Fires Season 1,WGBH Educational Foundation,,,"$27,082"
Illinois,,TV,AV Undercover 2012,,,
Massachusetts,2013,,The Once and Future city: Lowell,"Aperture Films, Ltd",,,"$27,063"
Illinois,,Commercial,Swiss Army Knife/Watch,,,
Illinois,,Commercial,Dean & St. Mary,,,
Illinois,,Commercial,"Neutrogena Cool Dry Sport ""Everything You Got” 21508",,,
Minnesota,,TV C,Cost Cutters: Perfect,,,"$134,721","$26,944"
Illinois,,Commercial,Old Dominion #17027,,,
Illinois,,TV,Something Fresh by Jewel Osco,,,
Massachusetts,2014,,Blue Cross Blue Shield - 14045,"Old Harbor Productions, Inc.",,,"$26,880"
Illinois,,Commercial,"McDonald's ""Summer Vacation"" 1014",,,
Texas,2015,Feature Film,Windsor,,,,"$26,826"
Illinois,,Commercial,NBA Draft 2011,,,
Illinois,,Commercial,True Value Hardware Advisor and Quick Ideas Video 2012,,,
Illinois,,Commercial,"Neutrogena Make-Up Remover (MUR) Wake Up, Spoof, Sweet Dreams 21507",,,
Louisiana,2012,Other,Falck Alford Safety Films 2009/2010,Alford Safety Services Inc.,,"$78,144","$26,710"
Louisiana,2012,TV Reality,Louisiana Lockdown,EIEIO Productions LLC,,"$88,965","$26,690"
Massachusetts,2013,,The People's Forest,"Moore Huntley Productions, Inc.",,,"$26,666"
Minnesota,,TV C,Health Partners,,,"$133,328","$26,666"
Massachusetts,2015,,15012 CL,"Element Productions, Inc.",,,"$26,656"
Illinois,,Commercial,"GrubHub ""Ping Pong"" Job #15-0806",,,
Minnesota,,Post,RPA Honda/Macy's,,,"$132,951","$26,590"
Massachusetts,2014,,13063 MACC,"Element Productions, Inc.",,,"$26,584"
Massachusetts,2013,,13022 OSJL,"Element Productions, Inc.",,,"$26,565"
Massachusetts,2013,,20706 MOTT,"Element Productions, Inc.",,,"$26,551"
Connecticut,2009,Film and Digital Media Production Tax Credit,,"Independent Media, Inc.",,"$88,463","$26,539"
Massachusetts,2013,,Rockland Trust RT 1314,"Redtree Productions, Inc.",,,"$26,536"
Minnesota,,TV C,Honda Winter RF,,,"$105,914","$26,478"
Texas,2014,Reality Television Project,Texas Singles,,,,"$26,458"
Illinois,,Commercial,St. Mary's Health 2016 Commercial Campaign,,,
Minnesota,,TV C,Cenex Community Heroes,,,"$105,330","$26,333"
Minnesota,,TV C,Lake City Bank,,,"$131,552","$26,310"
Connecticut,2014,Film and Digital Media Production Tax Credit,,"MRB Productions, Inc.",,"$934,904","$26,300"
Minnesota,,Post,Legends Special,,,"$131,430","$26,286"
Massachusetts,2015,,AMC - Better Call Saul,Viewpoint Computer Animation,,,"$26,220"
Louisiana,2015,Feature Film,Mr. Right,Perfecto Motion LLC,,"$87,062","$26,162"
Massachusetts,2016,,Hasbro RT1512,"Redtree Productions, Inc.",,,"$26,144"
Illinois,,TV,Today Now!,,,
Illinois,,Commercial,McDonald's,,,
Massachusetts,2016,,PBS Brand Touchstone,"Viewpoint Computer Animation, Inc.",,,"$26,063"
Oregon,2015,Commercial Production,Various Titles,AT LARGE FILMS INC,,,"$26,045"
Massachusetts,2013,,The American Templars,"American Templars Productions, LLC",,,"$26,035"
Utah,2017,,Believer,,,
Connecticut,2013,Film and Digital Media Production Tax Credit,,Roger Wilco Productions,,"$461,904","$25,991"
Massachusetts,2012,,"Acura ""Summer Sales Event-Stash""",Chelsea Pictures,,,"$25,931"
Massachusetts,2014,,The Year We Thought We Had Love,Ellen Brodsky Films,,,"$25,914"
Illinois,,Commercial,Jet Air Tools Campaign Video,,,
Louisiana,2011,Feature Film,Green Lantern,"Big Moose, LLC",,"$81,331","$25,825"
Illinois,,Commercial,"Special K ""Eat Special, Feel Special""",,,
Pennsylvania,,,Last Days Here,"9.14 Pictures, Inc.",0,,"$25,776"
Louisiana,2011,Feature Film,Beautiful Creatures,Sixteen Moon Productions LLC,,"$80,898","$25,751"
